snapped_at,price,market_cap,total_volume
2022-03-23 00:00:00 UTC,32.31302118652764,1485868780.2836835,7237060.511714543
2022-03-24 00:00:00 UTC,31.729397320295632,1466658925.7170184,5700180.95965096
2022-03-25 00:00:00 UTC,29.22534184496214,1350170301.1495085,12406345.993693007
2022-03-26 00:00:00 UTC,27.29050194655129,1261395999.8885853,10779393.976492427
2022-03-27 00:00:00 UTC,25.455916393555636,1181899630.6637986,9180468.830169702
2022-03-28 00:00:00 UTC,27.227842913792333,1260854099.3121343,5995894.007540572
2022-03-29 00:00:00 UTC,28.209973963319687,1313909577.3252113,8837736.207463795
2022-03-30 00:00:00 UTC,26.70750449680122,1243773137.6014435,10994863.771373536
2022-03-31 00:00:00 UTC,27.253226384820653,1271327536.4942095,5070274.127545581
2022-04-01 00:00:00 UTC,25.694973930707803,1198400094.9078894,6595769.553149914
2022-04-02 00:00:00 UTC,25.878725299937173,1205355773.7118444,6369393.190458932
2022-04-03 00:00:00 UTC,27.063432873021604,1274039867.7578478,7451242.115355388
2022-04-04 00:00:00 UTC,26.729568084912017,1253224919.4661384,6545501.7971294625
2022-04-05 00:00:00 UTC,24.939195475549866,1171236182.7897243,9096932.380745647
2022-04-06 00:00:00 UTC,23.542900497826704,1113179157.8371394,5725717.046764563
2022-04-07 00:00:00 UTC,21.628563039797662,1017272291.5886929,3220045.038156554
2022-04-08 00:00:00 UTC,22.760190084416255,1073396008.5790417,3192643.353330315
2022-04-09 00:00:00 UTC,23.32025644047507,1097000397.7129457,15309173.385431359
2022-04-10 00:00:00 UTC,21.497854474367134,1012640864.4543052,9588221.776194047
2022-04-11 00:00:00 UTC,19.900548758514024,943705510.6714118,7316940.624190474
2022-04-12 00:00:00 UTC,17.69217656259845,839906154.4761462,5508026.82470986
2022-04-13 00:00:00 UTC,17.516643760460912,827812457.4832997,7582769.182245156
2022-04-14 00:00:00 UTC,18.36577815020503,868403878.2853272,6022832.747052923
2022-04-15 00:00:00 UTC,17.612676127531287,837159714.2741961,3406837.809305878
2022-04-16 00:00:00 UTC,16.841950382699878,801326998.7577127,3587209.6342819976
